id,ticker,company_name,current_price,day_high,day_low,day_change_pct,week_52_high,week_52_low,pe_ratio,market_cap,volume,dividend_yield,last_updated,added_at
8,TCS,Tata Consultancy Services Limited,2596.3,2635.0,2593.1,-0.66,3710.0,2561.3,19.67,9393640833024.0,1175719.0,241.0,2026-03-04 05:00:49.416821+00:00,2026-03-04 04:45:18.176992+00:00
9,INFY,Infosys Limited,1304.9,1317.0,1292.0,1.24,1732.95,1264.1,18.61,5279221547008.0,4614759.0,349.0,2026-03-04 05:00:50.440547+00:00,2026-03-04 04:45:31.670095+00:00
10,RELIANCE,Reliance Industries Limited,1339.4,1339.7,1307.0,-1.37,1611.8,1114.85,21.77,18125393231872.0,12654480.0,41.0,2026-03-04 05:00:51.457832+00:00,2026-03-04 04:45:39.196412+00:00
12,BEL,Bharat Electronics Limited,455.75,460.85,450.55,0.4,461.65,256.2,55.78,3331431858176.0,17032195.0,96.0,2026-03-04 05:00:53.475949+00:00,2026-03-04 04:45:55.537685+00:00
13,INDIGO,InterGlobe Aviation Limited,4318.4,4409.5,4293.0,-4.47,6232.5,4293.0,51.92,1669548736512.0,1048682.0,22.0,2026-03-04 05:00:54.530954+00:00,2026-03-04 04:48:25.973058+00:00
14,LTM,LTIMindtree Limited,4393.8,4434.0,4330.1,-0.24,5195.0,4330.1,27.41,1302492086272.0,59405.0,152.0,2026-03-04 05:00:55.412660+00:00,2026-03-04 04:48:58.083688+00:00
15,TECHM,Tech Mahindra Limited,1349.9,1357.8,1321.0,0.33,1854.0,1209.4,25.92,1195631312896.0,386593.0,334.0,2026-03-04 05:00:56.306432+00:00,2026-03-04 04:56:02.829873+00:00
16,OFSS,Oracle Financial Services Software Limited,6819.0,6890.5,6771.5,-0.42,9950.0,6399.5,24.41,593452138496.0,43101.0,190.0,2026-03-04 05:00:57.295147+00:00,2026-03-04 04:57:50.780269+00:00
18,HDFCBANK,HDFC Bank Limited,876.2,876.55,848.0,-0.36388585,1020.5,835.025,19.536232,13482979229696.0,24353393.0,1.25,2026-03-04 07:25:34.565127+00:00,2026-03-04 07:22:00.038852+00:00
19,ICICBANK,ICICBANK,,,,,,,,,,,2026-03-04 11:37:00.426582+00:00,2026-03-04 07:22:21.760870+00:00
20,HINDUNILVR,Hindustan Unilever Limited,2283.7,2311.6,2278.0,-1.5901122,2750.0,2150.0,53.1959,5366540664832.0,1432972.0,1.85,2026-03-04 07:25:35.588582+00:00,2026-03-04 07:22:49.928056+00:00
21,AXISBANK,Axis Bank Limited,1334.9,1355.8,1327.0,-2.7251546,1418.3,999.2,15.842629,4147606192128.0,3020557.0,0.07,2026-03-04 07:25:35.956722+00:00,2026-03-04 07:23:01.886918+00:00
22,KOTAKBANK,Kotak Mahindra Bank Limited,407.25,410.5,404.2,-1.4161235,460.38,379.08,21.524841,4050301747200.0,10595656.0,0.12,2026-03-04 07:25:36.284706+00:00,2026-03-04 07:23:11.233851+00:00
23,HCLTECH,HCL Technologies Limited,1368.5,1382.0,1356.0,-0.18234865,1780.1,1302.75,22.530457,3702685433856.0,1600266.0,3.94,2026-03-04 07:25:36.545698+00:00,2026-03-04 07:23:27.999843+00:00
24,SOLARINDS,Solar Industries India Limited,14400.0,14468.0,13989.0,2.9380226,17820.0,9053.0,89.513275,1303056744448.0,405527.0,0.07,2026-03-04 07:25:36.812265+00:00,2026-03-04 07:24:15.987678+00:00
25,COALINDIA,Coal India Limited,435.5,437.9,426.0,2.170088,461.55,356.0,8.9867935,2683868282880.0,13316638.0,5.16,2026-03-04 07:25:37.167600+00:00,2026-03-04 07:24:37.522790+00:00
26,ADANIENT,Adani Enterprises Limited,2074.6,2104.6,2037.5,-2.353384,2695.0,1848.0,18.742434,2681798918144.0,1050383.0,0.06,2026-03-04 07:25:37.421512+00:00,2026-03-04 07:24:55.018071+00:00
27,BHARTIARTL,Bharti Airtel Limited,1894.9,1895.7,1815.3,1.1585112,2174.5,1577.1,37.463425,11542729850880.0,13834435.0,0.85,2026-03-04 07:46:39.701258+00:00,2026-03-04 07:40:33.188098+00:00
28,SBIN,State Bank of India,1163.5,1181.0,1157.6,-2.2186759,1234.7,717.0,12.666014,10739823673344.0,9212414.0,1.34,2026-03-04 07:46:40.094397+00:00,2026-03-04 07:40:46.408366+00:00
