ticker,company_name,current_price,week_52_high,week_52_low,discount_pct,pe_ratio,market_cap,sub_cluster
TCS,Tata Consultancy Services Limited,2596.3,3710.0,2561.3,30.02,19.67,9393640833024.0,0
INFY,Infosys Limited,1304.9,1732.95,1264.1,24.7,18.61,5279221547008.0,0
RELIANCE,Reliance Industries Limited,1339.4,1611.8,1114.85,16.9,21.77,18125393231872.0,0
BEL,Bharat Electronics Limited,455.75,461.65,256.2,1.28,55.78,3331431858176.0,1
LTM,LTIMindtree Limited,4393.8,5195.0,4330.1,15.42,27.41,1302492086272.0,0
TECHM,Tech Mahindra Limited,1349.9,1854.0,1209.4,27.19,25.92,1195631312896.0,0
OFSS,Oracle Financial Services Software Limited,6819.0,9950.0,6399.5,31.47,24.41,593452138496.0,0
HDFCBANK,HDFC Bank Limited,876.2,1020.5,835.025,14.14,19.536232,13482979229696.0,0
AXISBANK,Axis Bank Limited,1334.9,1418.3,999.2,5.88,15.842629,4147606192128.0,0
KOTAKBANK,Kotak Mahindra Bank Limited,407.25,460.38,379.08,11.54,21.524841,4050301747200.0,0
HCLTECH,HCL Technologies Limited,1368.5,1780.1,1302.75,23.12,22.530457,3702685433856.0,0
COALINDIA,Coal India Limited,435.5,461.55,356.0,5.64,8.9867935,2683868282880.0,0
ADANIENT,Adani Enterprises Limited,2074.6,2695.0,1848.0,23.02,18.742434,2681798918144.0,0
BHARTIARTL,Bharti Airtel Limited,1894.9,2174.5,1577.1,12.86,37.463425,11542729850880.0,1
SBIN,State Bank of India,1163.5,1234.7,717.0,5.77,12.666014,10739823673344.0,0
SUNPHARMA,Sun Pharmaceutical Industries Limited,1745.7,1851.2,1548.0,5.7,38.308098,4188518744064.0,1
OIL,Oil India Limited,501.35,524.0,325.0,4.32,13.996371,815788064768.0,0
